domain	disease	p_disease	neutral	p_neutral	logodds
AGC-kinase_C-terminal	2	0.001959	16	0.005997	-1.614224
Alpha-type_protein_kinase	0	0.000000	5	0.001874	-57.378947
BUB1_N-terminal	0	0.000000	1	0.000375	-55.057019
C2	0	0.000000	3	0.001124	-56.641981
C2_PI3K-type	4	0.003918	2	0.000750	2.385776
C2_tensin-type	0	0.000000	1	0.000375	-55.057019
CNH	0	0.000000	10	0.003748	-58.378947
Cadherin	7	0.006856	0	0.000000	59.250150
DH	0	0.000000	3	0.001124	-56.641981
Death	0	0.000000	6	0.002249	-57.641981
Doublecortin	0	0.000000	1	0.000375	-55.057019
EGF-like	0	0.000000	1	0.000375	-55.057019
Eph_LBD	1	0.000979	15	0.005622	-2.521115
F5/8_type_C	1	0.000979	3	0.001124	-0.199187
FAT	10	0.009794	26	0.009745	0.007264
FERM	0	0.000000	14	0.005247	-58.864374
FHA	3	0.002938	2	0.000750	1.970738
FZ	3	0.002938	3	0.001124	1.385776
Fibronectin_type-III	6	0.005877	142	0.053223	-3.179009
GS	8	0.007835	0	0.000000	59.442795
Guanylate_cyclase	5	0.004897	5	0.001874	1.385776
Histidine_kinase	2	0.001959	1	0.000375	2.385776
IPT/TIG	0	0.000000	1	0.000375	-55.057019
IQ	0	0.000000	2	0.000750	-56.057019
Ig-like	5	0.004897	128	0.047976	-3.292296
Ig-like_C2-type	68	0.066601	47	0.017616	1.918650
J	0	0.000000	2	0.000750	-56.057019
KEN	0	0.000000	2	0.000750	-56.057019
Kringle	1	0.000979	1	0.000375	1.385776
L27	1	0.000979	0	0.000000	56.442795
LIM_zinc-binding	0	0.000000	2	0.000750	-56.057019
MAM	0	0.000000	1	0.000375	-55.057019
Myosin_motor	0	0.000000	16	0.005997	-59.057019
No-domain	318	0.311459	1415	0.530360	-0.767928
OPR	0	0.000000	3	0.001124	-56.641981
PDZ	0	0.000000	4	0.001499	-57.057019
PH	23	0.022527	11	0.004123	2.449906
PI3K-ABD	2	0.001959	1	0.000375	2.385776
PI3K/PI4K	18	0.017630	11	0.004123	2.096269
PIK_helical	3	0.002938	0	0.000000	58.027757
POLO_box	0	0.000000	6	0.002249	-57.641981
PX	0	0.000000	2	0.000750	-56.057019
Protein_kinase	506	0.495593	684	0.256372	0.950917
Protein_kinase;_inactive	0	0.000000	2	0.000750	-56.057019
RGS	0	0.000000	15	0.005622	-58.963910
RWD	0	0.000000	1	0.000375	-55.057019
Rab-GAP_TBC	0	0.000000	2	0.000750	-56.057019
Roc	2	0.001959	2	0.000750	1.385776
SAM	2	0.001959	7	0.002624	-0.421579
SH2	20	0.019589	11	0.004123	2.248272
SH3	0	0.000000	12	0.004498	-58.641981
Sema	0	0.000000	16	0.005997	-59.057019
Tudor	0	0.000000	1	0.000375	-55.057019
WIF	0	0.000000	1	0.000375	-55.057019
