group	disease	p_disease	neutral	p_neutral	logodds
AGC	26	0.025465	200	0.074963	-1.557641
Atypical_ADCK	11	0.010774	14	0.005247	1.037852
Atypical_Alpha-type	1	0.000979	87	0.032609	-5.057168
Atypical_FAST	0	0.000000	1	0.000375	-55.057019
Atypical_PDK/BCKDK	2	0.001959	7	0.002624	-0.421579
Atypical_PI3/PI4-kinase	58	0.056807	141	0.052849	0.104205
Atypical_RIO-type	0	0.000000	14	0.005247	-58.864374
CAMK	42	0.041136	527	0.197526	-2.263566
CK1	2	0.001959	52	0.019490	-3.314664
CMGC	22	0.021548	180	0.067466	-1.646646
NEK	5	0.004897	45	0.016867	-1.784149
RGC	35	0.034280	38	0.014243	1.267131
STE	13	0.012733	225	0.084333	-2.727566
TKL	223	0.218413	155	0.058096	1.910551
Tyr	581	0.569050	982	0.368066	0.628591
