GOterm	disease_n	neutral_n	disease_p	neutral_p	golor	subontology	description
GO0060770	7	0	0.0069	0.0000	59.2501	biological_process	'negative regulation of epithelial cell proliferation involved in prostate gland development'
GO0060768	7	0	0.0069	0.0000	59.2501	biological_process	'regulation of epithelial cell proliferation involved in prostate gland development'
GO0045722	7	0	0.0069	0.0000	59.2501	biological_process	'positive regulation of gluconeogenesis'
GO0036399	7	0	0.0069	0.0000	59.2501	biological_process	'TCR signalosome assembly'
GO0036398	7	0	0.0069	0.0000	59.2501	cellular_component	'TCR signalosome'
GO0070371	4	0	0.0039	0.0000	58.4428	biological_process	'ERK1 and ERK2 cascade'
GO0061045	4	0	0.0039	0.0000	58.4428	biological_process	'negative regulation of wound healing'
GO0046939	4	0	0.0039	0.0000	58.4428	biological_process	'nucleotide phosphorylation'
GO0044439	4	0	0.0039	0.0000	58.4428	cellular_component	'peroxisomal part'
GO0044438	4	0	0.0039	0.0000	58.4428	cellular_component	'microbody part'
GO0044420	4	0	0.0039	0.0000	58.4428	cellular_component	'extracellular matrix part'
GO0042734	4	0	0.0039	0.0000	58.4428	cellular_component	'presynaptic membrane'
GO0042579	4	0	0.0039	0.0000	58.4428	cellular_component	'microbody'
GO0031903	4	0	0.0039	0.0000	58.4428	cellular_component	'microbody membrane'
GO0019205	4	0	0.0039	0.0000	58.4428	molecular_function	'nucleobase-containing compound kinase activity'
GO0019201	4	0	0.0039	0.0000	58.4428	molecular_function	'nucleotide kinase activity'
GO0016776	4	0	0.0039	0.0000	58.4428	molecular_function	'phosphotransferase activity, phosphate group as acceptor'
GO0010839	4	0	0.0039	0.0000	58.4428	biological_process	'negative regulation of keratinocyte proliferation'
GO0005778	4	0	0.0039	0.0000	58.4428	cellular_component	'peroxisomal membrane'
GO0005652	4	0	0.0039	0.0000	58.4428	cellular_component	'nuclear lamina'
GO0005604	4	0	0.0039	0.0000	58.4428	cellular_component	'basement membrane'
GO0004385	4	0	0.0039	0.0000	58.4428	molecular_function	'guanylate kinase activity'
GO0060711	3	0	0.0029	0.0000	58.0278	biological_process	'labyrinthine layer development'
GO0051905	3	0	0.0029	0.0000	58.0278	biological_process	'establishment of pigment granule localization'
GO0051904	3	0	0.0029	0.0000	58.0278	biological_process	'pigment granule transport'
GO0048313	3	0	0.0029	0.0000	58.0278	biological_process	'Golgi inheritance'
GO0048308	3	0	0.0029	0.0000	58.0278	biological_process	'organelle inheritance'
GO0035330	3	0	0.0029	0.0000	58.0278	biological_process	'regulation of hippo signaling'
GO0034243	3	0	0.0029	0.0000	58.0278	biological_process	'regulation of transcription elongation from RNA polymerase II promoter'
GO0032968	3	0	0.0029	0.0000	58.0278	biological_process	'positive regulation of transcription elongation from RNA polymerase II promoter'
GO0032786	3	0	0.0029	0.0000	58.0278	biological_process	'positive regulation of DNA-templated transcription, elongation'
GO0032784	3	0	0.0029	0.0000	58.0278	biological_process	'regulation of DNA-templated transcription, elongation'
GO0032402	3	0	0.0029	0.0000	58.0278	biological_process	'melanosome transport'
GO0032401	3	0	0.0029	0.0000	58.0278	biological_process	'establishment of melanosome localization'
GO0005816	3	0	0.0029	0.0000	58.0278	cellular_component	'spindle pole body'
GO0004728	3	0	0.0029	0.0000	58.0278	molecular_function	'receptor signaling protein tyrosine phosphatase activity'
GO0004725	3	0	0.0029	0.0000	58.0278	molecular_function	'protein tyrosine phosphatase activity'
GO0003056	3	0	0.0029	0.0000	58.0278	biological_process	'regulation of vascular smooth muscle contraction'
GO0000002	3	0	0.0029	0.0000	58.0278	biological_process	'mitochondrial genome maintenance'
GO2000366	2	0	0.0020	0.0000	57.4428	biological_process	'positive regulation of STAT protein import into nucleus'
