#GENE	UNI_ID	UNI_ACC	ENSP	GROUP
ADRBK1	ARBK1_HUMAN	P25098	ENSP00000312262	AGC
ADRBK2	ARBK2_HUMAN	P35626	ENSP00000317578	AGC
AKT1	AKT1_HUMAN	P31749	ENSP00000451166	AGC
AKT2	AKT2_HUMAN	P31751	ENSP00000399532	AGC
AKT3	AKT3_HUMAN	Q9Y243	ENSP00000355497	AGC
CDC42BPA	MRCKA_HUMAN	Q5VT25	ENSP00000355731	AGC
CDC42BPB	MRCKB_HUMAN	Q9Y5S2	ENSP00000355237	AGC
CDC42BPG	MRCKG_HUMAN	Q6DT37	ENSP00000345133	AGC
CIT	CTRO_HUMAN	O14578	ENSP00000376306	AGC
DMPK	DMPK_HUMAN	Q09013	ENSP00000291270	AGC
GRK1	RK_HUMAN	Q15835	ENSP00000334876	AGC
GRK4	GRK4_HUMAN	P32298	ENSP00000381129	AGC
GRK5	GRK5_HUMAN	P34947	ENSP00000376609	AGC
GRK6	GRK6_HUMAN	P43250	ENSP00000347655	AGC
GRK7	GRK7_HUMAN	Q8WTQ7	ENSP00000264952	AGC
LATS1	LATS1_HUMAN	O95835	ENSP00000437550	AGC
LATS2	LATS2_HUMAN	Q9NRM7	ENSP00000372035	AGC
MAST1	MAST1_HUMAN	Q9Y2H9	ENSP00000251472	AGC
MAST2	MAST2_HUMAN	Q6P0Q8	ENSP00000354671	AGC
MAST3	MAST3_HUMAN	O60307	ENSP00000262811	AGC
MAST4	MAST4_HUMAN	O15021	ENSP00000385048	AGC
MASTL	GWL_HUMAN	Q96GX5	ENSP00000365107	AGC
PDPK1	PDPK1_HUMAN	O15530	ENSP00000344220	AGC
PDPK2	PDPK2_HUMAN	Q6A1A2	-	AGC
PKN1	PKN1_HUMAN	Q16512	ENSP00000242783	AGC
PKN2	PKN2_HUMAN	Q16513	ENSP00000359552	AGC
PKN3	PKN3_HUMAN	Q6P5Z2	ENSP00000291906	AGC
PRKACA	KAPCA_HUMAN	P17612	ENSP00000309591	AGC
PRKACB	KAPCB_HUMAN	P22694	ENSP00000359719	AGC
PRKACG	KAPCG_HUMAN	P22612	ENSP00000366488	AGC
PRKCA	KPCA_HUMAN	P17252	ENSP00000408695	AGC
PRKCB	KPCB_HUMAN	P05771	ENSP00000318315	AGC
PRKCD	KPCD_HUMAN	Q05655	ENSP00000378217	AGC
PRKCE	KPCE_HUMAN	Q02156	ENSP00000306124	AGC
PRKCG	KPCG_HUMAN	P05129	ENSP00000263431	AGC
PRKCH	KPCL_HUMAN	P24723	ENSP00000329127	AGC
PRKCI	KPCI_HUMAN	P41743	ENSP00000295797	AGC
PRKCQ	KPCT_HUMAN	Q04759	ENSP00000263125	AGC
PRKCZ	KPCZ_HUMAN	Q05513	ENSP00000367830	AGC
PRKG1	KGP1_HUMAN	Q13976	ENSP00000384200	AGC
PRKG2	KGP2_HUMAN	Q13237	ENSP00000264399	AGC
PRKX	PRKX_HUMAN	P51817	ENSP00000262848	AGC
PRKY	PRKY_HUMAN	O43930	-	AGC
ROCK1	ROCK1_HUMAN	Q13464	ENSP00000382697	AGC
ROCK2	ROCK2_HUMAN	O75116	ENSP00000317985	AGC
RPS6KA1	KS6A1_HUMAN	Q15418	ENSP00000363283	AGC
RPS6KA2	KS6A2_HUMAN	Q15349	ENSP00000265678	AGC
RPS6KA3	KS6A3_HUMAN	P51812	ENSP00000368884	AGC
RPS6KA4	KS6A4_HUMAN	O75676	ENSP00000333896	AGC
RPS6KA5	KS6A5_HUMAN	O75582	ENSP00000261991	AGC
RPS6KA6	KS6A6_HUMAN	Q9UK32	ENSP00000262752	AGC
RPS6KB1	KS6B1_HUMAN	P23443	ENSP00000225577	AGC
RPS6KB2	KS6B2_HUMAN	Q9UBS0	ENSP00000308413	AGC
SGK1	SGK1_HUMAN	O00141	ENSP00000237305	AGC
SGK2	SGK2_HUMAN	Q9HBY8	ENSP00000392795	AGC
SGK3	SGK3_HUMAN	Q96BR1	-	AGC
STK38	STK38_HUMAN	Q15208	ENSP00000229812	AGC
STK38L	ST38L_HUMAN	Q9Y2H1	ENSP00000373684	AGC
BRSK1	BRSK1_HUMAN	Q8TDC3	ENSP00000310649	CAMK
BRSK2	BRSK2_HUMAN	Q8IWQ3	ENSP00000432000	CAMK
CAMK1	KCC1A_HUMAN	Q14012	ENSP00000256460	CAMK
CAMK1D	KCC1D_HUMAN	Q8IU85	ENSP00000368124	CAMK
CAMK1G	KCC1G_HUMAN	Q96NX5	ENSP00000009105	CAMK
CAMK2A	KCC2A_HUMAN	Q9UQM7	ENSP00000261793	CAMK
CAMK2B	KCC2B_HUMAN	Q13554	ENSP00000379098	CAMK
CAMK2D	KCC2D_HUMAN	Q13557	ENSP00000378032	CAMK
CAMK2G	KCC2G_HUMAN	Q13555	ENSP00000277853	CAMK
CAMK4	KCC4_HUMAN	Q16566	ENSP00000422634	CAMK
CAMKV	CAMKV_HUMAN	Q8NCB2	ENSP00000419195	CAMK
CASK	CSKP_HUMAN	O14936	ENSP00000367405	CAMK
CHEK1	CHK1_HUMAN	O14757	ENSP00000432890	CAMK
